Question Number,Questions,A1,A2,A3,A4,Correct Answer
Q 42.,What is the fine set by Dubai Land Department on the real estate developer in case of collection money from investors and not depositing them in the escrow account of the project?,"(a)  Aed 500,000","(b)  Aed 50,000","(c)  Aed 100,000","(d)  Aed 150,000",Answer: (a)
Q 43.,What is Dubai Land Department fine for practicing brokerage and not having license?,"(a)  Aed 50,000","(b)  Aed 100,000","(c)  Aed 150,000","(d)  Aed 500,000",Answer: (a)
Q 44.,What is master developer?,(a)  A person who is licensed to conduct the real property development in Dubai and to sell real property to others,(b)  A person who undertakes part of  a real property development project of a master developer under agreement between them,(c)  A person who conducts real property brokerage business in accordance to law 85,(d)  None of the answers are correct,Answer: (a)
Q 45.,What is sub developer?,(a)  A person who undertakes part of  a real property development project of a master developer under agreement between them,(b)  A person who is licensed to conduct the real property development in Dubai and to sell real property to others,(c)  A person who conducts real property brokerage business in accordance to law 85,(d)  None of the answers are correct,Answer: (a)
Q 46.,Who is responsible to register the off plan sale in Dubai Land Department?,(a)  Developer,(b)  Owner,(c)  Dubai Land Department,(d)  Building permits licensing authority,Answer: (a)
Q 47.,How can I register complaint against real estate developer?,(a)  Register complaint on Dubai Land Department website - real estate violation system (rvs),(b)  Sending email to info@dubailand.gov.ae,(c)  Sending email to support@dubailand.gov.ae,(d)  All answers are correct,Answer: (a)
Q 48.,How can I register complaint against real estate office?,(a)  Register complaint on Dubai Land Department website - real estate violation system (rvs),(b)  Sending email to info@dubailand.gov.ae,(c)  Sending email to support@dubailand.gov.ae,(d)  All answers are correct,Answer: (a)
Q 49.,How can I register complaint against real estate management company?,(a)  Register complaint on Dubai Land Department website - real estate violation system (rvs),(b)  Sending email to info@dubailand.gov.ae,(c)  Sending email to support@dubailand.gov.ae,(d)  All answers are correct,Answer: (a)
Q 50.,What guarantees that investors' money deposited in project escrow account are not used by the developer on his own?,(a)  All answers are correct,(b)  All payments from escrow account has to be approved by the bank,(c)  All payments from escrow accounts has to be approved by Dubai Land Department team,(d)  Real estate projects are inspected every 3 months by Dubai Land Department and based on the results payments are given,Answer: (a)
Q 51.,What is the difference between leasehold and freehold?,(a)  All answers are correct,"(b)  Lease hold is temporary ownership 99 years, freehold for ever","(c)  Leasehold does not compensate owners if building fallen down, freehold will distribute the land prorate between the owners",(d)  Leasehold applies to non gcc nationalities while freehold applies to all nationalities,Answer: (a)
Q 52.,Where do an off plan investor litigate on the real estate developer for cancelled or late projects?,(a)  All answers are correct,(b)  Dubai courts,(c)  Dubai Land Department,(d)  Dubai international arbitration center,Answer: (a)
Q 53.,What is Dubai land registration fees for valuation of empty land?,"(a)  Aed 2,000","(b)  Aed 6,000","(c)  Aed 4,000","(d)  Aed 15,000",Answer: (a)
Q 54.,What is Dubai Land Department registration fee to request to whom it may concern certificate?,(a)  Aed 50,(b)  0,(c)  Aed 100,(d)  Aed 500,Answer: (a)
Q 55.,Can Dubai Land Department registered broker advertise for properties in UK without permit?,(a)  No,(b)  Yes,(c)  Sometimes,(d)  None of the answers are correct,Answer: (a)
Q 56.,What is Dubai Land Department registration fees for warehouse sale registration?,"(a)  AED 10 per square meter for the base land with minimum AED 10,000",(b)  AED 10 per square meter for the base land,(c)  4% of the valuation amount,(d)  1% of the valuation amount,Answer: (a)
Q 57.,Who submits to the developer the request for NOC of off plan property?,(a)  Owner (s),(b)  Buyer (s),(c)  Developer,(d)  Zoning authority,Answer: (a)
Q 58.,Which document is mandatory to sign for second sale of off plan property at the developer side by new buyer?,(a)  SPA,(b)  NOC,(c)  POA,(d)  None of the answers are correct,Answer: (a)
Q 59.,Commonly which is higher the service charge per sqm for residential unit or service charge for residential villa?,(a)  Unit,(b)  Villa,(c)  Same,(d)  None of the answers are correct,Answer: (a)
Q 60.,Where do you register tenancy contract that is less or equal to 10 years duration?,(a)  Property trustee office,(b)  Registration trustee office,(c)  Online using Dubai REST,(d)  Online using Dubai Land website,Answer: (a)
Q 61.,How does the developer know that off plan property is sold to new owner?,(a)  System is automatically sending the details,(b)  Because developer issues the NOC,(c)  New owner informs him by email,(d)  Management company is informed through Mollak system,Answer: (a)
Q 62.,SPA stands for?,(a)  Sale purchase agreement,(b)  Sole purchase agreement,(c)  Supplier purchase agreement,(d)  Summary purchase agreement,Answer: (a)
Q 63.,"Commonly within the same project, which is higher an off plan property price or same completed property?",(a)  Completed property,(b)  Off plan property,(c)  Same,(d)  None of the answers are correct,Answer: (a)
Q 64.,Commonly which is lower the service charge per sqm for residential unit or service charge for residential villa?,(a)  Villa,(b)  Unit,(c)  Same,(d)  None of the answers are correct,Answer: (a)
Q 65.,Where do you register tenancy contract that is more than 10 years duration?,(a)  Registration trustee office,(b)  Property trustee office,(c)  Online using Dubai REST,(d)  Online using Dubai Land website,Answer: (a)
Q 66.,Is it possible to register two tenants in one tenancy contract?,(a)  No,(b)  Yes,"(c)  Yes, when the two tenants are sharing the rent",(d)  None of the answers are correct,Answer: (a)
Q 67.,What is the upper cap on first leasing for real estate property in Dubai?,(a)  No limit,(b)  As per the rental index average,(c)  Equal to upper limit done as per rental valuation,(d)  Equal to the upper limit mentioned in Dubai Land Department index,Answer: (a)
Q 68.,"Investor is buying a land type freehold area under Trakhees zoning authority of an area size 12,000 sqm, and asked the broker for the owner of the adjacent land of an area 8,000 sqm in order to buy it too as he needs more space to build his project, how can broker help the investor in finding the adjacent land owner to approach him for purchase?",(a)  Visit Dubai Municipality and request the information,(b)  Visit Dubai Development Authority and request for the information,(c)  Approach Dubai Land Department to request permission of adjacent owner to share his contact,(d)  Visit Trakhees and request for the information,Answer: (a)
Q 69.,"What is Dubai Land registration fee when selling warehouse of 1,500 sqm base land area?","(a)  AED 15,000",(b)  AED 60,"(c)  Aed 6,000","(d)  Aed 1,500",Answer: (a)
Q 70.,Dubai Land Department title deed is issued in which languages?,(a)  Bilingual (Arabic + English),(b)  Arabic,(c)  English,(d)  Russian,Answer: (a)
Q 71.,Where doe you register the off plan second sale?,(a)  Registration trustee,(b)  Developer,(c)  Master developer,(d)  Property trustee,Answer: (a)
Q 72.,What is Dubai Land registration fees for tenancy contract (Usufruct) that is more than 10 years duration?,(a)  4% of the total value of the lease contract,(b)  AED 220,(c)  Aed 170,(d)  2% of the total value of the lease contract,Answer: (a)
Q 73.,"Owner of a building found his property allowed increase of rent as per rental index is unfair, what he should do?",(a)  Apply for rental valuation on Ejari system,(b)  Raise the rent keeping note in the contract,(c)  Raise the rent unconditional,(d)  Apply for rental valuation on Dubai now app,Answer: (a)
Q 74.,"My name is not written correctly in the title deed, how can I modify it?",(a)  Through property trustee,(b)  Directly from my wallet in Dubai REST,(c)  Directly from my wallet in Dubai Land Department website,(d)  None of the answers are correct,Answer: (a)
Q 75.,What is Dubai Land registration fee when selling warehouse of 800 sqm base land area?,"(a)  AED 10,000",(b)  AED 32,(c)  Aed 3200,"(d)  Aed 8,000",Answer: (a)
Q 76.,Which entity issues the NOC for NFH lands?,(a)  NOC is not required for NFH,(b)  Dubai Municipality,(c)  Dubai Land Department,(d)  Sheikh Mohammed Bin Rashid housing,Answer: (a)
Q 77.,What is the cost of issuing digital NOC by the developer or the management company?,(a)  AED 0,(b)  AED 500,"(c)  Aed 1,000","(d)  Aed 5,000",Answer: (a)
Q 78.,Why do I need to pay service charge for Free Hold property?,(a)  All answers are correct,(b)  Safety and security,(c)  Happy and clean living,(d)  Property investment protection value,Answer: (a)
Q 79.,"Which is a better decision, buy property cash or mortgage if finance rate is too low?",(a)  None of the answers are correct,(b)  Cash,(c)  Finance,(d)  Always cash,Answer: (a)
Q 80.,What would be your advice to investor who wants to change on the external façade of the unit as condition prior buying the unit?,"(a)  Possible with required approval from master developer, management company of the building and zoning authority",(b)  Not possible,(c)  Possible with conditions,(d)  Management companies of the community must approve,Answer: (a)
Q 81.,"When either tenant or landlord has a tenancy dispute, which cannot be resolved informally, what are the legal avenues ordinarily available to the parties?",(a)   File a claim with the Rental Disputes Centre or Arbitration (as a means of dispute resolution if the parties agree,(b)   File a claim with the local Police who will open a file with the Rent Committee.,(c)   File a claim with the Dubai Land Department.,(d)   File a claim with the Notary Public who will inform the parties of the dispute resolution course of action.,Answer: (a)
Q 82.,A Power of Attorney (POA) is a legal document that gives legal authority to one party to act on behalf of the granting party (the grantor).   Which of the following activities is permissible under a POA?,(a)  All answer are correct,(b)   Collecting rental income on behalf of an Owner;,(c)   Appointing a Property Manager;,(d)   A third party entering a sales purchase agreement on behalf of a buyer,Answer: (a)
Q 83.,A foreign Power of Attorney (POA) can be used in the UAE if:,(a)   It is Notarized and legalized by a UAE embassy or consulate and stamped by the Ministry of Foreign Affairs,(b)   It is stamped and approved by RERA,(c)   It is an original in the English language that has been officially translated to the Arabic Language,(d)   It is approved by the Dubai Land Department and the Rents Committee,Answer: (a)
Q 84.,"If a Power of Attorney (POA) is bilingual (Arabic and English) and there exists an inconsistency in the two language versions, which language shall prevail?",(a)   Arabic,(b)   English,(c)   The Dubai Courts will determine the matter,(d)   The Dubai Lands Department will determine the matter,Answer: (a)
Q 85.,Rent renewal increases must be communicated to the Tenant at least 30 days prior to the expiration of the Lease term.,(a)   False,(b)   True,,,Answer: (a)
Q 86.,What is an example of real estate property?,(a)  Garage,(b)  Couch,(c)  Tv,(d)  Window blinds,Answer: (a)
Q 87.,"What type of ownership model is typically used for vacation real estate, usually in one-week increments, for the same property?",(a)  Timeshare,(b)  Short lease,(c)  Long lease,(d)  Lease to ownership,Answer: (a)
Q 88.,What are the means through which the approval of parties on the contract is successfully achieved?,(a)  Honest and unbiased means,(b)  Fake and cheating,(c)  Under influence,(d)  Under pressure,Answer: (a)
Q 89.,Who can be considered a party in a contract?,"(a)  Option iv: options: i, ii, iii",(b)  Option 1: seller,(c)  Option ii: buyer,(d)  Option iii: broker,Answer: (a)
Q 90.,What is the classification of a contract that binds one party but not the other?,(a)  Voidable,(b)  Void,(c)  Executed,(d)  Illegal,Answer: (a)
Q 91.,What is the marginal area percentage difference allowed when buying property off-plan and receiving it when the project is completed?,(a)  0.05,(b)  0.1,(c)  0.15,(d)  Up to 25%,Answer: (a)
Q 92.,An investor is planning to buy property in Dubai and looking for property that entitles him to the golden visa. Which of the following options achieves his purpose?,(a)  Off plan property for an investment amount of AED 6m,(b)  Ready property of an investment amount of AED 2.5m and paid amount is AED 1.8m,(c)  Ready property with an investment amount of AED 2m and paid amount of AED 1m.,(d)  Off plan property or ready property with an investment amount AED 2m and above.,Answer: (a)
Q 93.,Which of the following forces tenant to submit for an offer and deposit at rental dispute centre?,(a)  Legal notification for the heirs issued from Dubai courts,(b)  Title deed where all names and shares are mentioned,(c)  Written will for Muslims,(d)  Death certificate,Answer: (a)
Q 94.,Which of the following documents have the shares for each heir of all property?,(a)  Legal notification for the heirs issued from Dubai courts,(b)  Title deed where all names and shares are mentioned,(c)  Written will for Muslims,(d)  Death certificate,Answer: (a)
Q 95.,What specifies the new rent amount of property?,(a)  No cap on first rent in Dubai,(b)  The owner decides to increase or not and if increase according to Dubai rental index and rental valuation if asked for,(c)  The owner decides to increase or not and if increase according to Dubai rental index and property valuation if asked for,(d)  None of the above,Answer: (a)
Q 96.,What specifies the renewal rent amount of property?,(a)  The owner decides to increase or not and if increase according to dubai rental index and rental valuation if asked for,(b)  The owner decides to increase or not and if increase according to Dubai rental index and property valuation if asked for,(c)  No cap on first rent in Dubai,(d)  None of the above,Answer: (a)
Q 97.,What is the criteria that specifies the first rent amount of a warehouse?,(a)  No cap on first rent in Dubai,(b)  The owner decides to increase or not and if increase according to Dubai rental index and rental valuation if asked for,(c)  The owner decides to increase or not and if increase according to Dubai rental index and property valuation if asked for,(d)  None of the above,Answer: (a)
Q 98.,What is a will?,(a)  Instructions stating how a person wants his property disposed of after his death,(b)  A document for conveying government land for certain fee,(c)  A will written entirely in ones own handwriting and signed but not witnessed,(d)  The act of conveying ownership,Answer: (a)
Q 99.,What do nominate the person who earns a real estate property through a will?,(a)  A devisee,(b)  Testator,(c)  Vendor,(d)  Vendee,Answer: (a)
Q 100.,Who control the lower cap for renting commercial property?,(a)  It is owner choice in agreement with tenant,(b)  Owner,(c)  Tenant,(d)  Management company,Answer: (a)
Q 101.,Who arent first degree relatives in Dubai?,"(a)  Sister, brother, grandfather, grand mother","(b)  Wife, son, daughter, grandfather, grandmother","(c)  Wife, son, daughter, brother, sister","(d)  Wife, son, daughter, brother, sister, grandfather, grandmother",Answer: (a)
Q 102.,Who are first degree relatives in Dubai?,"(a)  Wife, son, daughter, father, mother","(b)  Wife, son, daughter, grandfather, grandmother","(c)  Wife, son, daughter, brother, sister","(d)  Wife, son, daughter, brother, sister, grandfather, grandmother",Answer: (a)
Q 103.,Which party is most likely to sue for specific performance issues after purchasing real estate property?,(a)  Buyer,(b)  Seller,(c)  Broker,(d)  Bank,Answer: (a)
Q 104.,What do we call the document in which the buyers sign a statement about the price and terms with which they are ready to buy the property?,(a)  A purchase offer,(b)  Contract F,(c)  Contract B,(d)  Contract A,Answer: (a)
Q 105.,What is the percentage of Value Added Tax (VAT) that a real estate developer imposes on the buyer of an off-plan residential property?,(a)  0.00,(b)  5.00,(c)  2.50,(d)  9.00,Answer: (a)
Q 106.,What is the percentage of Value Added Tax (VAT) that a real estate developer imposes on the buyer of completed residential property?,(a)  0.00,(b)  5.00,(c)  2.50,(d)  9.00,Answer: (a)
Q 107.,"As per the Real Estate Regulatory Authority (RERA) of the Dubai Land Department, which specific actions that real estate brokers strictly prohibited from engaging in?",(a)  Malicious calls,"(b)  Singing contract, a with owners",(c)  Real estate owners confidential information,(d)  Real estate buyers confidential information,Answer: (a)
Q 108.,Is it permissible for a seller to accept an offer without requiring a deposit?,(a)  Yes,(b)  No,(c)  Sometimes,(d)  If the amount is greater than 5%,Answer: (a)
Q 109.,What is the required period of notice to be given to the current tenant of a residential property in the event of a sale to a new owner?,(a)  Twelve months,(b)  Six months,(c)  Three months,(d)  None of the above,Answer: (a)
Q 110.,Who grants approval to contract A of a property jointly owned by five individuals?,(a)  All owners,(b)  Owner with highest share,(c)  Owner with lowest share,(d)  Owners consent not required to approve contract A,Answer: (a)
Q 111.,One of the differences between an owner of a Freehold title and that of a Leasehold title to a property is that:,"(a)  The freehold owner owns the building only, while the owner owns the long-term lease and the land.","(b)  Freehold ownership owns the land and the structure (building) forever, while the long-term rental owner owns the infrastructure only for a period of time.",(c)  There is no difference,,Answer: (b)
Q 112.,What is the online program for recording and registering tenancy contracts for all types of property in the Emirate of Dubai:,(a)  Ejari System,(b)  Oqood System,(c)  Trakheesi System,,Answer: (a)
Q 113.,"Contracts A, B and F can be accessed via the following:",(a)  Dubai Brokers App,(b)  Mollak System,(c)  Dubai Real Estate Institute,(d)  Dubai REST App,Answer: (d)
Q 114.,The Buyer bank conducts a valuation (appraisal) of the property before issuing the Final Offer Letter to Buyer.,(a)  Incorrect,(b)  Correct,,,Answer: (b)
Q 115.,Maintaining a Special Transaction Registers (STR) of all transactions (sales and rentals) by a registered brokerage company is not mandatory and RERA never requests to check them.,(a)  Mandatory,(b)  Non Mandatory,,,Answer: (b)
Q 116.,A Registration Trustee:,(a)  It is the real estate registration system with the Land Department,(b)  It is an integrated registration and management system designed specifically for the registration of Owners Associations,(c)  It is a secure online payment system for owners to use when paying service charges,(d)  Provides a service aimed at executing and completing client transactions outside the working hours of the Land Department through a number of offices licensed by the Land Department,Answer: (a)
Q 117.,It is permissible to market and promotes real estate through direct phone calls or by sending a text message,(a)  Incorrect,(b)  Correct,,,Answer: (a)
Q 118.,"When dealing with a non-GCC client (foreign national) buying real estate, the broker is not required to inquire whether the property is in a designated area.",(a)  Correct,(b)  Incorrect,,,Answer: (b)
Q 119.,The broker has the right to market and promotes the property without obtaining a permit from the institution,(a)  Incorrect,(b)  Correct,,,Answer: (a)
Q 120.,What is the meaning of the green list?,(a)  A service that allows communication with owners association companies,(b)  A service that allows real estate brokers to communicate directly with real estate owners,(c)  A service that allows communication with real estate agents,,Answer: (b)
Q 121.,The broker may market and promote real estate from outside the country,(a)  Correct,(b)  Incorrect,,,Answer: (b)
Q 122.,A conventional bank releases the original title deed to the owner of the property upon the registration of the owner?s mortgage at DLD.,(a)  Incorrect,(b)  Correct,,,Answer: (a)
Q 123.,A Developer may not start a project and sell its units off plan until:,(a)  It has taken ownership of the plot on which the project is to be developed,(b)  It has signed a sale and purchase agreement (SPA) with the land owner,(c)  It receives permission to do so from the Dubai Municipality,,Answer: (a)
Q 124.,A comparable property must comply with the following:,(a)  A recent transaction,(b)  A similar property,(c)  A similar area,(d)  All of them,Answer: (d)
Q 125.,Marketing is ?,(a)  Selling,(b)  Advertising,(c)  Manipulating the target audience to sell them an overpriced property,(d)  None of the answers are correct,Answer: (d)
Q 126.,A bubble is:,(a)  Price increase related to development of fundamentals,(b)  Price decrease relates to development of fundamentals,(c)  Price increase not related to development fundamentals,,Answer: (c)
Q 127.,"Owning property gives the owner an edge over renting, as owners enjoy the following:",(a)  Residual Control and Residual return,(b)  Residual Control,(c)  Residual return,(d)  None of the answers are correct,Answer: (a)
Q 128.,An Easement is:,(a)  The way real estate value eases up during recession,(b)  Is the use of another property as long as this property is not sold,(c)  Permanent right for the owner of one property to use facilities of another property,,Answer: (c)
Q 129.,"If both demand and supply in real estate increases, but increase in the former is much higher, then there will be",(a)  Oversupply & price decrease,(b)  Supply shortage & price increase,,,Answer: (b)
Q 130.,RERA ranks registered brokerage offices by assigning the highest-ranking weight to the experience of the brokerage office.,(a)  Correct,(b)  Incorrect,,,Answer: (b)
Q 131.,Government legislations/regulations in the real estate market do not affect investors decisions,(a)  Correct,(b)  Incorrect,,,Answer: (b)
Q 132.,"When dealing with a non-GCC client (foreign national) buying real estate, the broker is not required to inquire whether the property is in a designated area.",(a)  Incorrect,(b)  Correct,,,Answer: (a)
Q 133.,The primary aim of MOLLAK is to provide an on-line registration and support system to parties dealing with Jointly Owned Property in Dubai.,(a)  Correct,(b)  Incorrect,,,Answer: (a)
Q 134.,A property can be held by leasehold for a maximum of:,(a)  99 years,(b)  Leasehold is only available to GCC nationals,(c)  10 years,(d)  A leasehold property can be held for life,Answer: (a)
Q 135.,Which of the following are advantages of being registered as a company in a Free Zone?,(a)  It allows for 100% foreign ownership of the company,(b)  A freezone company can own property anywhere in Dubai,(c)  A freezone company is subject to reduced transfer fees at the Dubai Land Department,(d)  None of the answers are correct,Answer: (a)
Q 136.,The property manager must improve the property:,(a)  After conducting a property study and finding out that the improvement will have a positive impact on the value of the property or its rent income or both,(b)  If the tenant asks for improvements immediately because the tenant is always king,(c)  If the property manager feels that this will be an interesting venture to try out,(d)  None of the answers are correct,Answer: (a)
Q 137.,Which of these are part of the marketing mix?,"(a)  Product, Price, Place, advertising and sales","(b)  Property, Promotion, Price and Packaging","(c)  Product, Price, Place, Promotion and People","(d)  PR, online marketing, events, SEO, exhibitions and social media ads",Answer: (c)
Q 138.,Amounts paid for property improvements shall be added to the:,(a)  Gross income,(b)  Capital Investment,(c)  Maintenance Budget,(d)  Gross Expenses,Answer: (b)
Q 139.,You should start advertising for new tenants?,(a)  45 days before the property is vacated,(b)  Immediately after you know the current tenant will be leaving to avoid keeping the property vacant,(c)  After you have inspected the property for maintenance requirements and ensured that the unit has been handed over professionally and is ready for lease again,(d)  90 days before the property is vacated,Answer: (c)
